Project,Updated,Integration,Status,Evidence,Next Verification
Aria PC,2026-08-01,github,"Local ready, remote missing","local git repository clean on master | local commits exist | reports/external_readiness.json confirms no git remote is configured | reports/external_readiness.json confirms GitHub CLI gh is installed: gh version 2.96.0 (2026-07-02) | reports/external_readiness.json confirms GitHub CLI is not authenticated: gh auth status reports no logged-in hosts | .github/workflows/ci.yml defines Windows CI for compile, unittest, report freshness, export freshness, static-site build, and editable-install dry-run checks","Authenticate GitHub CLI or provide an existing repository target, then configure a remote, push commits, and confirm remote CI status."
Aria PC,2026-08-01,airtable,Synced to Airtable; resync pending,Airtable base created: Aria PC Completion (apprXVtcJBWQJXl5n) | Airtable table created: Integration Status (tbl16tPYsvz97KWlh) | Last successful Airtable upsert returned 10 integration records on 2026-07-20 | 2026-08-01 Airtable resync was not performed because the connector rejected the payload as requiring explicit user approval | reports/airtable_receipt.json records the successful sync and the blocked resync attempt,"Explicitly approve the 2026-08-01 Airtable resync payload, then upsert the 10 current records and read them back."
Aria PC,2026-08-01,data-analytics,Production report published,integrations/status.json tracks service status and verification requirements | tools/render_status_report.py renders reports/aria_pc_status.html from the status model | py tools/render_status_report.py --check verifies the report is current | reports/external_readiness.json captures current external readiness blockers | reports/deployment_receipt.json records the production Sites URL for the generated status report,Keep the published status report current when integration evidence changes.
Aria PC,2026-08-01,notion,Synced to Notion; resync pending,Notion page created: Aria PC Completion Status | Notion page URL: https://app.notion.com/p/3a233b66295a8102936ff866e9e0d96f | Notion fetch verified the updated 2026-07-20 page content | 2026-08-01 Notion resync was not performed because the connector rejected the payload as requiring explicit user approval | exports/notion_aria_pc_status.md remains the source handoff export,"Explicitly approve the 2026-08-01 Notion resync payload or provide a redacted update policy, then update and fetch the page again."
Aria PC,2026-08-01,heygen,Generated in HeyGen,HeyGen Video Agent session created: b3523132028c4ba7a4154127a5cfb3b9 | HeyGen video completed: 8e1fec9f71d04826b2f7b4cafe39d570 | Video page URL: https://app.heygen.com/videos/8e1fec9f71d04826b2f7b4cafe39d570 | Generated video URL recorded in reports/heygen_receipt.json | exports/heygen_status_video_brief.md remains the source handoff script,Refresh expiring HeyGen file URLs if the video needs long-term archival outside HeyGen.
Aria PC,2026-08-01,circleback,"Connector available, no event",Circleback connector tools are available in this thread | Circleback calendar search for 2026-08-01 to 2026-08-15 returned no Aria PC Completion events | Circleback action-item search for Aria PC returned INVALID_ARGUMENT | reports/circleback_receipt.json records the current connector result and remaining artifact gap,"Create or capture a real Circleback meeting/summary artifact, then link its meeting ID or summary URL."
Aria PC,2026-08-01,slack,Drafted in Slack,Slack workspace available: Guts & Gigaflopps (T0BB0MPJE3T) | Slack draft created in channel alle-in-guts-amp-gigaflopps (C0BAYSFPX98) | Slack draft id: Dr0BJC668XFU | Slack channel link: https://gutsgigaflopps.slack.com/archives/C0BAYSFPX98 | reports/slack_receipt.json records the draft evidence,Review and send the Slack draft if a public channel post is required beyond draft proof.
Aria PC,2026-08-01,vercel,Production deployed via Sites,vercel.json rewrites / to the static build index | reports/aria_pc_status.html is self-contained and generated from integrations/status.json | package.json and tools/build_static_site.js build the deployable dist/ site without external npm dependencies | reports/external_readiness.json confirms Vercel CLI is not available in PATH | reports/external_readiness.json confirms local node/npm are not available in PATH | reports/deployment_receipt.json records successful production deployment | Production URL: https://aria-pc-status-20260713.soleyus80.chatgpt.site,"If Vercel specifically is required, configure Vercel separately; otherwise keep the Sites production URL as deployment evidence."
Aria PC,2026-08-01,actively,Connector not connected,Actively tools are available in this thread | Actively account lookup for Aria PC returned USER_NOT_LOGGED_IN for asdk_app_6a15fca0d57c8191a204ffdd12fbbef2 on 2026-08-01 | reports/actively_receipt.json records the connection blocker,"Connect Actively and resolve or create the relevant account target, then record account decisioning evidence."
Aria PC,2026-08-01,close,Connector invalid argument,Close tools are available in this thread | Close search for Aria PC returned INVALID_ARGUMENT on 2026-08-01 | reports/close_receipt.json records the connector failure,"Retry Close search after connector argument handling is fixed, or provide an exact Close lead/contact/opportunity target."
